[06:04:58, 18.07.2020] | [app] >> NGROK Started >> https://1e4ca51e3978.eu.ngrok.io
[06:05:25, 18.07.2020] | [app] >> Express Started
[06:05:25, 18.07.2020] | [app] >> IO Started
[06:05:27, 18.07.2020] | [app] >> NGROK Started >> https://106a5479c007.eu.ngrok.io
[06:06:47, 18.07.2020] | [app] >> Express Started
[06:06:47, 18.07.2020] | [app] >> IO Started
[06:06:48, 18.07.2020] | [app] >> NGROK Started >> https://6bfb93fba3cd.eu.ngrok.io
[06:07:34, 18.07.2020] | [app] >> Express Started
[06:07:34, 18.07.2020] | [app] >> IO Started
[06:07:35, 18.07.2020] | [app] >> NGROK Started >> https://445e5f2d3eaa.eu.ngrok.io
[06:09:06, 18.07.2020] | [app] >> Express Started
[06:09:06, 18.07.2020] | [app] >> IO Started
[06:09:07, 18.07.2020] | [app] >> NGROK Started >> https://b25e183dc130.eu.ngrok.io
[06:09:41, 18.07.2020] | [app] >> Express Started
[06:09:42, 18.07.2020] | [app] >> IO Started
[06:09:43, 18.07.2020] | [app] >> NGROK Started >> https://a366f98ef7c3.eu.ngrok.io
[06:11:24, 18.07.2020] | [app] >> Express Started
[06:11:24, 18.07.2020] | [app] >> IO Started
[06:11:25, 18.07.2020] | [app] >> NGROK Started >> https://c4c0a569a441.eu.ngrok.io
[06:11:32, 18.07.2020] | [app] >> Express Started
[06:11:32, 18.07.2020] | [app] >> IO Started
[06:11:33, 18.07.2020] | [app] >> NGROK Started >> https://727fd694a077.eu.ngrok.io
[06:11:57, 18.07.2020] | [app] >> Express Started
